ENA_term,EMO_BON_term,EMO_BON_sheet,include,units
water current,water_current,measured,Y,m3/s
fluorescence,not relevant,not relevant,N,
light intensity,light_intensity,measured,N,
mean friction velocity,not relevant,not relevant,N,
mean peak friction velocity,not relevant,not relevant,N,
downward PAR,down_par,measured,Y,µE/m2/s
photon flux,not relevant,not relevant,N,
pressure,pressure,measured,Y,atm
temperature,sea_subsurf_temp,measured,Y,ºC
tidal stage,tidal_stage,sampling,Y,
pH,ph,measured,Y,
total depth of water column,tot_depth_water_col,observatory,Y,m
alkyl diethers,not relevant,not relevant,N,
aminopeptidase activity,not relevant,not relevant,N,
ammonium,ammonium,measured,Y,µmol/L
bacterial carbon production,bacteria_carb_prod,measured,N,
bacterial production,bac_prod,measured,N,
bacterial respiration,bac_resp,measured,N,
bishomohopanol,not relevant,not relevant,N,
bromide,not relevant,not relevant,N,
calcium,not relevant,not relevant,N,
carbon/nitrogen ratio,not relevant,not relevant,N,
chloride,not relevant,not relevant,N,
chlorophyll,chlorophyll,measured,Y,µg/L
diether lipids,not relevant,not relevant,N,
dissolved carbon dioxide,diss_carb_dioxide,measured,Y,µmol/L
dissolved hydrogen,diss_hydrogen,measured,N,
dissolved inorganic carbon,diss_inorg_carb,measured,Y,µg/L
dissolved inorganic nitrogen,not relevant,not relevant,N,
dissolved inorganic phosphorus,not relevant,not relevant,N,
dissolved organic carbon,diss_org_carb,measured,Y,µmol/L
dissolved organic nitrogen,diss_org_nitro,measured,Y,µg/L
dissolved oxygen,diss_oxygen,measured,Y,µmol/kg
glucosidase activity,not relevant,not relevant,N,
magnesium,not relevant,not relevant,N,
n-alkanes,n_alkanes,measured,Y,µmol/L
nitrate,nitrate,measured,Y,µmol/L
nitrite,nitrite,measured,Y,µmol/L
nitrogen,not relevant,not relevant,N,
organic carbon,org_carb,measured,N,
organic matter,org_matter,measured,N,
organic nitrogen,org_nitro,measured,N,
particulate organic carbon,part_org_carb,measured,Y,µg/L
particulate organic nitrogen,part_org_nitro,measured,Y,µg/L
petroleum hydrocarbon,petroleum_hydrocarb,measured,Y,µmol/L
phaeopigments,phaeopigments,measured,Y,µg/L
phosphate,phosphate,measured,Y,µmol/L
phospholipid fatty acid,not relevant,not relevant,N,
potassium,not relevant,not relevant,N,
primary production,primary_prod,measured,Y,mg/m3/day
redox potential,redox_potential,measured,N,
salinity,sea_subsurf_salinity,measured,Y,psu
silicate,silicate,measured,Y,µmol/L
sodium,not relevant,not relevant,N,
soluble reactive phosphorus,not relevant,not relevant,N,
sulfate,sulfate,measured,Y,µmol/L
sulfide,sulfide,measured,Y,µmol/L
suspended particulate matter,not relevant,not relevant,N,
total dissolved nitrogen,tot_diss_nitro,measured,N,
total inorganic nitrogen,tot_inorg_nitro,measured,N,
total nitrogen,tot_nitro,measured,N,
total particulate carbon,tot_part_carb,measured,N,
total phosphorus,tot_phosp,measured,N,
subspecific genetic lineage,not relevant,not relevant,N,
trophic level,not relevant,not relevant,N,
relationship to oxygen,not relevant,not relevant,N,
known pathogenicity,not relevant,not relevant,N,
encoded traits,not relevant,not relevant,N,
observed biotic relationship,not relevant,not relevant,N,
chemical administration,chem_administration,measured,Y,
perturbation,perturbation,measured,N,
size fraction,size_frac,sampling,Y,μm
pigments,pigments,measured,Y,μg/L
sea surface temperature,sea_surf_temp,measured,Y,ºC
sea surface salinity,sea_surf_salinity,measured,Y,psu
dna concentration,dna_conc,sequencing,Y,ng/μL
